LOINC #,Long Common Name,Short Name,CLASS,Rank
26499-4,Neutrophils [#/volume] in Blood,Neutrophils # Bld,HEM/BC,57
5778-6,Color of Urine,Color Ur,SPEC,58
5803-2,pH of Urine by Test strip,pH Ur Strip,UA,59
1759-0,Albumin/Globulin [Mass ratio] in Serum or Plasma,Albumin/Glob SerPl,Chem,60
26484-6,Monocytes [#/volume] in Blood,Monocytes # Bld,HEM/BC,61
10834-0,Globulin [Mass/volume] in Serum by calculation,Globulin Ser Calc-mCnc,Chem,62
13457-7,Cholesterol in LDL [Mass/volume] in Serum or Plasma by calculation,LDLc SerPl Calc-mCnc,Chem,63
5770-3,Bilirubin [Presence] in Urine by Test strip,Bilirub Ur Ql Strip,UA,64
5799-2,Leukocyte esterase [Presence] in Urine by Test strip,Leukocyte esterase Ur Ql Strip,UA,65
5767-9,Appearance of Urine,Appearance Ur,SPEC,66
26449-9,Eosinophils [#/volume] in Blood,Eosinophil # Bld,HEM/BC,67
13458-5,Cholesterol in VLDL [Mass/volume] in Serum or Plasma by calculation,VLDLc SerPl Calc-mCnc,Chem,68
2777-1,Phosphate [Mass/volume] in Serum or Plasma,Phosphate SerPl-mCnc,Chem,69
26474-7,Lymphocytes [#/volume] in Blood,Lymphocytes # Bld,HEM/BC,70
5811-5,Specific gravity of Urine by Test strip,Sp Gr Ur Strip,UA,71
5794-3,Hemoglobin [Presence] in Urine by Test strip,Hgb Ur Ql Strip,UA,72
5792-7,Glucose [Mass/volume] in Urine by Test strip,Glucose Ur Strip-mCnc,UA,73
5804-0,Protein [Mass/volume] in Urine by Test strip,Prot Ur Strip-mCnc,UA,74
11579-0,Thyrotropin [Units/volume] in Serum or Plasma by Detection limit <= 0.05 mIU/L,TSH SerPl DL<=0.05 mIU/L-aCnc,Chem,75
26511-6,Neutrophils/100 leukocytes in Blood,Neutrophils/leuk NFr Bld,HEM/BC,76
3173-2,Activated partial thromboplastin time (aPTT) in Blood by Coagulation assay,aPTT Bld,COAG,77
2601-3,Magnesium [Moles/volume] in Serum or Plasma,Magnesium SerPl-sCnc,Chem,78
5821-4,Leukocytes [#/area] in Urine sediment by Microscopy high power field,WBC #/area UrnS HPF,UA,79
5797-6,Ketones [Mass/volume] in Urine by Test strip,Ketones Ur Strip-mCnc,UA,80
4548-4,Hemoglobin A1c/Hemoglobin.total in Blood,Hgb A1c MFr Bld,HEM/BC,81
1968-7,Bilirubin.direct [Mass/volume] in Serum or Plasma,Bilirub Direct SerPl-mCnc,Chem,82
2336-6,Globulin [Mass/volume] in Serum,Globulin Ser-mCnc,Chem,83
11555-0,Base excess in Blood,Base excess Bld Calc-sCnc,Chem,84
47527-7,Cytology report of Cervical or vaginal smear or scraping Cyto stain.thin prep,Cytology Cvx/Vag Doc Thin Prep,CYTO,85
11557-6,Carbon dioxide [Partial pressure] in Blood,pCO2 Bld,Chem,86
11556-8,Oxygen [Partial pressure] in Blood,pO2 Bld,Chem,87
22636-5,Pathology report relevant history,Path report.relevant Hx Spec,TUMRRGT,88
5769-5,Bacteria [#/area] in Urine sediment by Microscopy high power field,Bacteria #/area UrnS HPF,UA,89
2157-6,Creatine kinase [Enzymatic activity/volume] in Serum or Plasma,CK SerPl-cCnc,Chem,90
9830-1,Cholesterol.total/Cholesterol in HDL [Mass ratio] in Serum or Plasma,Cholest/HDLc SerPl,Chem,91
2089-1,Cholesterol in LDL [Mass/volume] in Serum or Plasma,LDLc SerPl-mCnc,Chem,92
630-4,Bacteria identified in Urine by Culture,Bacteria Ur Cult,MICRO,93
19123-9,Magnesium [Mass/volume] in Serum or Plasma,Magnesium SerPl-mCnc,Chem,94
2713-6,Oxygen saturation.calculated from oxygen partial pressure in Blood,SaO2 % Bld from pO2,Chem,95
22638-1,Pathology report comments,Path report.comments Imp Spec,TUMRRGT,96
11558-4,pH of Blood,pH Bld,Chem,97
22639-9,Pathology report supplemental reports,Path report.supplemental reports Spec,TUMRRGT,98
20454-5,Protein [Presence] in Urine by Test strip,Prot Ur Ql Strip,UA,99
13945-1,Erythrocytes [#/area] in Urine sediment by Microscopy high power field,RBC #/area UrnS HPF,UA,100
738-5,Macrocytes [Presence] in Blood by Light microscopy,Macrocytes Bld Ql Smear,HEM/BC,101
2514-8,Ketones [Presence] in Urine by Test strip,Ketones Ur Ql Strip,Chem,102
741-9,Microcytes [Presence] in Blood by Light microscopy,Microcytes Bld Ql Smear,HEM/BC,103
19146-0,Reference lab test results,Ref Lab Test Results,MISC,104
3016-3,Thyrotropin [Units/volume] in Serum or Plasma,TSH SerPl-aCnc,Chem,105
6298-4,Potassium [Moles/volume] in Blood,Potassium Bld-sCnc,Chem,106
3107-0,Urobilinogen [Mass/volume] in Urine,Urobilinogen Ur-mCnc,Chem,107
19764-0,Statement of adequacy [interpretation] of Cervical or vaginal smear or scraping by Cyto stain,Stat of Adq Cvx/Vag Cyto-Imp,CYTO,108
19767-3,Cytologist who read Cyto stain of Cervical or vaginal smear or scraping,Cytologist Cvx/Vag Cyto,CYTO,109
19763-2,Specimen source [Identifier] in Cervical or vaginal smear or scraping by Cyto stain,Specimen source Cvx/Vag Cyto,CYTO,110
13969-1,Creatine kinase.MB [Mass/volume] in Serum or Plasma,CK MB SerPl-mCnc,Chem,111
18314-5,Morphology [interpretation] in Blood Narrative,Morphology Bld-Imp,HEM/BC,112
10839-9,Troponin I.cardiac [Mass/volume] in Serum or Plasma,Troponin I SerPl-mCnc,Chem,113
19773-1,Recommended follow-up [Identifier] in Cervical or vaginal smear or scraping by Cyto stain,Recom F/U Cvx/Vag Cyto,CYTO,114
19769-9,Pathologist who read Cyto stain of Cervical or vaginal smear or scraping,Pathologist Cvx/Vag Cyto,CYTO,115
2349-9,Glucose [Presence] in Urine,Glucose Ur Ql,Chem,116
20405-7,Urobilinogen [Mass/volume] in Urine by Test strip,Urobilinogen Ur Strip-mCnc,UA,117
33037-3,Anion gap in Serum or Plasma,Anion Gap SerPl-sCnc,Chem,118
728-6,Hypochromia [Presence] in Blood by Light microscopy,Hypochromia Bld Ql Smear,HEM/BC,119
1959-6,Bicarbonate [Moles/volume] in Blood,HCO3 Bld-sCnc,Chem,120
26444-0,Basophils [#/volume] in Blood,Basophils # Bld,HEM/BC,121
2965-2,Specific gravity of Urine,Sp Gr Ur,Chem,122
23658-8,Other Antibiotic [Susceptibility],Other Antibiotic Susc Islt,ABXBACT,123
2857-1,Prostate specific Ag [Mass/volume] in Serum or Plasma,PSA SerPl-mCnc,Chem,124
1971-1,Bilirubin.indirect [Mass/volume] in Serum or Plasma,Bilirub Indirect SerPl-mCnc,Chem,125
20409-9,Erythrocytes [#/volume] in Urine by Test strip,RBC # Ur Strip,UA,126
1989-3,Calcidiol [Mass/volume] in Serum or Plasma,25(OH)D3 SerPl-mCnc,Chem,127
8247-9,Mucus [Presence] in Urine sediment by Light microscopy,Mucous Threads UrnS Ql Micro,UA,128
2947-0,Sodium [Moles/volume] in Blood,Sodium Bld-sCnc,Chem,129
1994-3,Calcium.ionized [Moles/volume] in Blood,Ca-I Bld-sCnc,Chem,130
600-7,Bacteria identified in Blood by Culture,Bacteria Bld Cult,MICRO,131
6742-1,Erythrocyte morphology finding [Identifier] in Blood,RBC morph Bld,HEM/BC,132
3024-7,Thyroxine (T4) free [Mass/volume] in Serum or Plasma,T4 Free SerPl-mCnc,Chem,133
5818-0,Urobilinogen [Presence] in Urine by Test strip,Urobilinogen Ur Ql Strip,Chem,134
11054-4,Cholesterol in LDL/Cholesterol in HDL [Mass ratio] in Serum or Plasma,LDLc/HDLc SerPl,Chem,135
764-1,Neutrophils.band form/100 leukocytes in Blood by Manual count,Neuts Band/leuk NFr Bld Manual,HEM/BC,136
4537-7,Erythrocyte sedimentation rate by Westergren method,ESR Bld Qn Westrgrn,HEM/BC,137
8310-5,Body temperature,Body temperature,BDYTMP.ATOM,138
3040-3,Lipase [Enzymatic activity/volume] in Serum or Plasma,Lipase SerPl-cCnc,Chem,139
2498-4,Iron [Mass/volume] in Serum or Plasma,Iron SerPl-mCnc,Chem,140
9317-9,Platelets [Presence] in Blood by Light microscopy,Platelet Bld Ql Smear,HEM/BC,141
3084-1,Urate [Mass/volume] in Serum or Plasma,Urate SerPl-mCnc,Chem,142
20565-8,"Carbon dioxide, total [Moles/volume] in Blood",CO2 Bld-sCnc,Chem,143
925-8,Blood product disposition [Type],Bld Prod Disposition BPU,BLDBK,144
3026-2,Thyroxine (T4) [Mass/volume] in Serum or Plasma,T4 SerPl-mCnc,Chem,145
13317-3,Methicillin resistant Staphylococcus aureus [Presence] in Unspecified specimen by Organism specific culture,MRSA XXX Ql Cult,MICRO,146
14979-9,Activated partial thromboplastin time (aPTT) in Platelet poor plasma by Coagulation assay,aPTT PPP,COAG,147
11277-1,Epithelial cells.squamous [#/area] in Urine sediment by Microscopy high power field,Squamous #/area UrnS HPF,UA,148
32623-1,Platelet mean volume [Entitic volume] in Blood by Automated count,PMV Bld Auto,HEM/BC,149
2132-9,Cobalamin (Vitamin B12) [Mass/volume] in Serum,Vit B12 SerPl-mCnc,Chem,150
20453-7,Epithelial cells [Presence] in Urine sediment by Light microscopy,Epi Cells UrnS Ql Micro,UA,151
1798-8,Amylase [Enzymatic activity/volume] in Serum or Plasma,Amylase SerPl-cCnc,Chem,152
2276-4,Ferritin [Mass/volume] in Serum or Plasma,Ferritin SerPl-mCnc,Chem,153
1988-5,C reactive protein [Mass/volume] in Serum or Plasma,CRP SerPl-mCnc,Chem,154
5808-1,Erythrocytes [#/volume] in Urine sediment by Microscopy high power field,RBC # UrnS HPF,UA,155
2532-0,Lactate dehydrogenase [Enzymatic activity/volume] in Serum or Plasma,LDH SerPl-cCnc,Chem,156
2500-7,Iron binding capacity [Mass/volume] in Serum or Plasma,TIBC SerPl-mCnc,Chem,157
5782-8,Crystals [type] in Urine sediment by Light microscopy,Crystals UrnS Micro,UA,158
21000-5,Erythrocyte distribution width [Entitic volume] by Automated count,RDW RBC Auto,HEM/BC,159
2753-2,pH of Serum or Plasma,pH SerPl,Chem,160
2161-8,Creatinine [Mass/volume] in Urine,Creat Ur-mCnc,Chem,161
20408-1,Leukocytes [#/volume] in Urine by Test strip,WBC # Ur Strip,UA,162
27045-4,Microscopic exam [interpretation] of Urine by Cytology,Microscopic Ur-Imp,CYTO,163
31100-1,Hematocrit [Volume Fraction] of Blood by Impedance,Hct VFr Bld Imped,HEM/BC,164
11580-8,Thyrotropin [Units/volume] in Serum or Plasma by Detection limit <= 0.005 mIU/L,TSH SerPl DL<=0.005 mIU/L-aCnc,Chem,165
5787-7,Epithelial cells [#/area] in Urine sediment by Microscopy high power field,Epi Cells #/area UrnS HPF,UA,166
735-1,Lymphocytes Variant/100 leukocytes in Blood by Manual count,Variant Lymphs/leuk NFr Bld Manual,HEM/BC,167
934-0,Blood product unit ID [#],BPU ID,BLDBK,168
882-1,ABO & Rh group [Type] in Blood,ABO + Rh Bld,BLDBK,169
19161-9,Urobilinogen [Units/volume] in Urine by Test strip,Urobilinogen Ur Strip-aCnc,UA,170
1978-6,Bilirubin [Mass/volume] in Urine,Bilirub Ur-mCnc,Chem,171
30167-1,Human papilloma virus 16+18+31+33+35+39+45+51+52+56+58+59+68 DNA [Presence] in Cervix by Probe & signal amplification method,HPV I/H Risk 1 DNA Cvx Ql bDNA,MICRO,172
20507-0,Reagin Ab [Presence] in Serum by RPR,RPR Ser Ql,MICRO,173
3151-8,Inhaled oxygen flow rate,Inhaled O2 flow rate,CLIN,174
14957-5,Microalbumin [Mass/volume] in Urine,Microalbumin Ur-mCnc,Chem,175
58448-2,Microalbumin ug/min [Mass/time] in 24 hour Urine,Microalbumin ug/min 24H Ur-mRate,Chem,176
26508-2,Neutrophils.band form/100 leukocytes in Blood,Neuts Band/leuk NFr Bld,HEM/BC,177
24111-7,Neisseria gonorrhoeae DNA [Presence] in Unspecified specimen by Probe & target amplification method,N gonorrhoea DNA XXX Ql PCR,MICRO,178
11279-7,Urine sediment comments by Light microscopy Narrative,UrnS Cmnt Micro,UA,179
21613-5,Chlamydia trachomatis DNA [Presence] in Unspecified specimen by Probe & target amplification method,C trach DNA XXX Ql PCR,MICRO,180
2284-8,Folate [Mass/volume] in Serum or Plasma,Folate SerPl-mCnc,Chem,181
1995-0,Calcium.ionized [Moles/volume] in Serum or Plasma,Ca-I SerPl-sCnc,Chem,182
11282-1,Cells Counted Total [#] in Blood,Total Cells Counted Bld,HEM/BC,183
2106-3,Choriogonadotropin (Pregnancy test) [Presence] in Urine,HCG Preg Ur Ql,Chem,184
933-2,Blood product type,Bld Prod Typ BPU,BLDBK,185
737-7,Lymphocytes/100 leukocytes in Blood by Manual count,Lymphocytes/leuk NFr Bld Manual,HEM/BC,186
2744-1,pH of Arterial blood,pH BldA,Chem,187
30313-1,Hemoglobin [Mass/volume] in Arterial blood,Hgb BldA-mCnc,HEM/BC,188
10378-8,Polychromasia [Presence] in Blood by Light microscopy,Polychromasia Bld Ql Smear,HEM/BC,189
2324-2,Gamma glutamyl transferase [Enzymatic activity/volume] in Serum or Plasma,GGT SerPl-cCnc,Chem,190
25162-9,Hyaline casts [Presence] in Urine sediment by Light microscopy,Hyaline Casts UrnS Ql Micro,UA,191
2502-3,Iron saturation [Mass Fraction] in Serum or Plasma,Iron Satn MFr SerPl,Chem,192
2703-7,Oxygen [Partial pressure] in Arterial blood,pO2 BldA,Chem,193
664-3,Microscopic observation [Identifier] in Unspecified specimen by Gram stain,Gram Stn XXX,MICRO,194
3879-4,Opiates [Presence] in Urine,Opiates Ur Ql,DRUG/TOX,195
3390-2,Benzodiazepines [Presence] in Urine,Benzodiaz Ur Ql,DRUG/TOX,196
27353-2,Glucose mean value [Mass/volume] in Blood Estimated from glycated hemoglobin,Est. average glucose Bld gHb Est-mCnc,Chem,197
890-4,Blood group antibody screen [Presence] in Serum or Plasma,Bld gp Ab Scn SerPl Ql,BLDBK,198
26507-4,Neutrophils.band form [#/volume] in Blood,Neuts Band # Bld,HEM/BC,199
3050-2,Triiodothyronine resin uptake (T3RU) in Serum or Plasma,T3RU NFr SerPl,Chem,200
30405-5,Leukocytes [#/volume] in Urine,WBC # Ur,HEM/BC,201
48345-3,HIV 1+O+2 Ab [Presence] in Serum or Plasma,HIV 1+O+2 Ab SerPl Ql,MICRO,202
2986-8,Testosterone [Mass/volume] in Serum or Plasma,Testost SerPl-mCnc,Chem,203
30934-4,Natriuretic peptide B [Mass/volume] in Serum or Plasma,BNP SerPl-mCnc,Chem,204
2019-8,Carbon dioxide [Partial pressure] in Arterial blood,pCO2 BldA,Chem,205
34714-6,INR in Blood by Coagulation assay,INR Bld,COAG,206
3377-9,Barbiturates [Presence] in Urine,Barbiturates Ur Ql,DRUG/TOX,207
8061-4,Nuclear Ab [Presence] in Serum,ANA Ser Ql,SERO,208
11529-5,Surgical pathology study,,ATTACH.CLINRPT,209
5196-1,Hepatitis B virus surface Ag [Presence] in Serum by Immunoassay,HBV surface Ag SerPl Ql IA,MICRO,210
49136-5,Creatine kinase.MB/Creatine kinase.total [Ratio] in Serum or Plasma,CK MB SerPl-Rto,Chem,211
14959-1,Microalbumin/Creatinine [Mass ratio] in Urine,Microalbumin/Creat Ur,Chem,212
48346-1,HIV 1+O+2 Ab [Units/volume] in Serum or Plasma,HIV 1+O+2 Ab SerPl-aCnc,MICRO,213
3349-8,Amphetamines [Presence] in Urine,Amphetamines Ur Ql,DRUG/TOX,214
17856-6,Hemoglobin A1c/Hemoglobin.total in Blood by HPLC,Hgb A1c MFr Bld HPLC,HEM/BC,215
11253-2,Tacrolimus [Mass/volume] in Blood,Tacrolimus Bld-mCnc,DRUG/TOX,216
33903-6,Ketones [Presence] in Urine,Ketones Ur Ql,Chem,217
883-9,ABO group [Type] in Blood,ABO Group Bld,BLDBK,218
2091-7,Cholesterol in VLDL [Mass/volume] in Serum or Plasma,VLDLc SerPl-mCnc,Chem,219
2458-8,IgA [Mass/volume] in Serum,IgA SerPl-mCnc,Chem,220
2501-5,Iron binding capacity.unsaturated [Mass/volume] in Serum or Plasma,UIBC SerPl-mCnc,Chem,221
32215-6,Thyroxine (T4) free index in Serum or Plasma,FT4I SerPl Calc-mCnc,Chem,222
3053-6,Triiodothyronine (T3) [Mass/volume] in Serum or Plasma,T3 SerPl-mCnc,Chem,223
18282-4,Cannabinoids [Presence] in Urine by Screen method,Cannabinoids Ur Ql Scn,DRUG/TOX,224
744-3,Monocytes/100 leukocytes in Blood by Manual count,Monocytes/leuk NFr Bld Manual,HEM/BC,225
5195-3,Hepatitis B virus surface Ag [Presence] in Serum,HBV surface Ag Ser Ql,MICRO,226
1003-3,Indirect antiglobulin test.complement specific reagent [Presence] in Serum or Plasma,IAT Comp-Sp Reag SerPl Ql,BLDBK,227
769-0,Neutrophils.segmented/100 leukocytes in Blood by Manual count,Neuts Seg/leuk NFr Bld Manual,HEM/BC,228
714-6,Eosinophils/100 leukocytes in Blood by Manual count,Eosinophil/leuk NFr Bld Manual,HEM/BC,229
15067-2,Follitropin [Units/volume] in Serum or Plasma,FSH SerPl-aCnc,Chem,230
2243-4,Estradiol (E2) [Mass/volume] in Serum or Plasma,Estradiol SerPl-mCnc,Chem,231
53927-0,Neisseria gonorrhoeae rRNA [Presence] in Urethra by Probe & target amplification method,N gonorrhoea rRNA Urth Ql PCR,MICRO,232
60256-5,Neisseria gonorrhoeae rRNA [Presence] in Urine by Probe & target amplification method,N gonorrhoea rRNA Ur Ql PCR,MICRO,233
702-1,Anisocytosis [Presence] in Blood by Light microscopy,Anisocytosis Bld Ql Smear,HEM/BC,234
707-0,Basophils/100 leukocytes in Blood by Manual count,Basophils/leuk NFr Bld Manual,HEM/BC,235
19145-2,Reference lab test name,Ref Lab Test Name,MISC,236
29265-6,Calcium [Moles/volume] corrected for albumin in Serum or Plasma,Calcium Album cor SerPl-sCnc,Chem,237
5796-8,Hyaline casts [#/area] in Urine sediment by Microscopy low power field,Hyaline Casts #/area UrnS LPF,UA,238
5198-7,Hepatitis C virus Ab [Units/volume] in Serum by Immunoassay,HCV Ab Ser IA-aCnc,MICRO,239
2731-8,Parathyrin.intact [Mass/volume] in Serum or Plasma,PTH-Intact SerPl-mCnc,Chem,240
2465-3,IgG [Mass/volume] in Serum,IgG SerPl-mCnc,Chem,241
53925-4,Chlamydia trachomatis rRNA [Presence] in Urethra by Probe & target amplification method,C trach rRNA Urth Ql PCR,MICRO,242
774-0,Ovalocytes [Presence] in Blood by Light microscopy,Ovalocytes Bld Ql Smear,HEM/BC,243
12454-5,Urate crystals amorphous [Presence] in Urine sediment by Light microscopy,Amorph Urate Cry UrnS Ql Micro,UA,244
30341-2,Erythrocyte sedimentation rate,ESR Bld Qn,HEM/BC,245
798-9,Erythrocytes [#/volume] in Urine by Automated count,RBC # Ur Auto,HEM/BC,246
1250-0,Major crossmatch [interpretation],Maj XM SerPl-Imp,BLDBK,247
22634-0,Pathology report gross observation,Path report.gross Spec,TUMRRGT,248
18262-6,Cholesterol in LDL [Mass/volume] in Serum or Plasma by Direct assay,LDLc SerPl Direct Assay-mCnc,Chem,249
56598-6,Epstein Barr virus early IgM Ab [Units/volume] in Serum by Immunoassay,EBV EA IgM Ser IA-aCnc,MICRO,250
11572-5,Rheumatoid factor [Units/volume] in Serum,Rheumatoid fact SerPl-aCnc,SERO,251
19080-1,Choriogonadotropin [Units/volume] in Serum or Plasma,HCG SerPl-aCnc,Chem,252
18998-5,Trimethoprim+Sulfamethoxazole [Susceptibility],TMP SMX Susc Islt,ABXBACT,253
43304-5,Chlamydia trachomatis rRNA [Presence] in Unspecified specimen by Probe & target amplification method,C trach rRNA XXX Ql PCR,MICRO,254
10331-7,Rh [Type] in Blood,Rh Bld,BLDBK,255
43305-2,Neisseria gonorrhoeae rRNA [Presence] in Unspecified specimen by Probe & target amplification method,N gonorrhoea rRNA XXX Ql PCR,MICRO,256
10701-1,Ova+Parasites identified in Stool by Concentration,O+P Stl Conc,MICRO,257
13362-9,Collection duration of Urine,Collect duration Time Ur,SPEC,258
11125-2,Platelet morphology finding [Identifier] in Blood,Plat morph Bld,HEM/BC,259
15180-3,Hypochromia [Presence] in Blood by Automated count,Hypochromia Bld Ql Auto,HEM/BC,260
12258-0,Epithelial cells.squamous [Presence] in Urine sediment by Microscopy high power field,Squamous UrnS Ql Micro,UA,261
22633-2,Pathology report site of origin,Path report.site of origin Spec,TUMRRGT,262
2472-9,IgM [Mass/volume] in Serum,IgM SerPl-mCnc,Chem,263
31208-2,Specimen source [Identifier] of Unspecified specimen,Specimen source XXX,SPEC,264
18928-2,Gentamicin [Susceptibility],Gentamicin Susc Islt,ABXBACT,265
5671-3,Lead [Mass/volume] in Blood,Lead Bld-mCnc,DRUG/TOX,266
3255-7,Fibrinogen [Mass/volume] in Platelet poor plasma by Coagulation assay,Fibrinogen PPP-mCnc,COAG,267
3184-9,Activated clotting time in Blood by Coagulation assay,ACT Bld,COAG,268
19139-5,Pathologist name,Pathologist name,CLIN,269
6462-6,Bacteria identified in Wound by Culture,Bacteria Wnd Cult,MICRO,270
10501-5,Lutropin [Units/volume] in Serum or Plasma,LH SerPl-aCnc,Chem,271
19244-3,Character of Urine,Character Ur,SPEC,272
19659-2,Phencyclidine [Presence] in Urine by Screen method,PCP Ur Ql Scn,DRUG/TOX,273
3051-0,Triiodothyronine (T3) Free [Mass/volume] in Serum or Plasma,T3Free SerPl-mCnc,Chem,274
624-7,Bacteria identified in Sputum by Respiratory culture,Bacteria Spt Resp Cult,MICRO,275
634-6,Bacteria identified in Unspecified specimen by Aerobe culture,Bacteria XXX Aerobe Cult,MICRO,276
50387-0,Chlamydia trachomatis rRNA [Presence] in Cervix by Probe & target amplification method,C trach rRNA Cvx Ql PCR,MICRO,277
50388-8,Neisseria gonorrhoeae rRNA [Presence] in Cervix by Probe & target amplification method,N gonorrhoea rRNA Cvx Ql PCR,MICRO,278
35691-5,XXX microorganism DNA [Presence] in Unspecified specimen by Probe & target amplification method,Other microorganism DNA XXX Ql PCR,MICRO,279
