EVENT_CONCEPT_ID	DRUG_CONCEPT_NAME	POSSIBLE_LABEL_USE	ICD9	INDICATION_DESCRIPTION	CONDITION_CONCEPT_ID	CONDITION_CONCEPT_NAME
19045272	Miglustat	1	272.7	Lipidoses	44826471	Lipidoses
933724	Phenazopyridine	1	136.9	Unspecified infectious and parasitic diseases	44834472	Unspecified infectious and parasitic diseases
933724	Phenazopyridine	0	595.9	Cystitis NOS	44824347	Cystitis, unspecified
933724	Phenazopyridine	1	599.0	Urinary tract infection; site not specified	44820980	Urinary tract infection, site not specified
933724	Phenazopyridine	1	780.96	Generalized pain	44828147	Generalized pain
933724	Phenazopyridine	1	781.99	Other symptoms involving nervous and musculoskeletal systems	44837429	Other symptoms involving nervous and musculoskeletal systems
19055717	Erwinia asparaginase	0	202.80	Other malignant lymphomas; unspecified site; extranodal and solid organ sites	44835708	Other malignant lymphomas, unspecified site, extranodal and solid organ sites
19082111	Isoflurophate	0	365	Glaucoma	44826578	Glaucoma
19082111	Isoflurophate	0	365.9	Glaucoma NOS	44834661	Unspecified glaucoma
19082111	Isoflurophate	0	378.30	Heterotropia NOS	44824206	Heterotropia, unspecified
19082111	Isoflurophate	0	378.4	Heterophoria	44837073	Heterophoria
19082111	Isoflurophate	0	378.40	Heterophoria NOS	44833524	Heterophoria, unspecified
19082111	Isoflurophate	0	378.9	Unspecified disorder of eye movements	44828951	Unspecified disorder of eye movements
19050488	Etomidate	0	345.3	Grand mal status; epileptic	44826554	Grand mal status
19050488	Etomidate	0	348.89	Other conditions of brain (ADDED)	44819597	Other conditions of brain
19050488	Etomidate	0	780.39	Other convulsions	44830440	Other convulsions
19050488	Etomidate	0	780.96	Generalized pain	44828147	Generalized pain
1519936	Etonogestrel	1	V22.2	Pregnant state; incidental	44837786	Pregnant state, incidental
1350504	Etoposide	0	136.9	Unspecified infectious and parasitic diseases	44834472	Unspecified infectious and parasitic diseases
1350504	Etoposide	1	162.9	Malignant neoplasm of bronchus and lung; unspecified	44827555	Malignant neoplasm of bronchus and lung, unspecified
1350504	Etoposide	1	171.9	Malignant neoplasm of connective and other soft tissue; site unspecified	44830976	Malignant neoplasm of connective and other soft tissue, site unspecified
1350504	Etoposide	0	176	Kaposi's sarcoma	44833300	Kaposi's sarcoma
1350504	Etoposide	0	176.9	Kaposi's sarcoma NOS	44826407	Kaposi's sarcoma, unspecified site
1350504	Etoposide	1	186	Malignant neoplasm of testis	44829815	Malignant neoplasm of testis
1350504	Etoposide	1	186.9	Malignant neoplasm of other and unspecified testis	44829816	Malignant neoplasm of other and unspecified testis
1350504	Etoposide	0	202.1	Mycosis fungoides	44827579	Mycosis fungoides
1350504	Etoposide	0	202.10	Mycosis fungoides; unspecified site; extranodal and solid organ sites	44829839	Mycosis fungoides, unspecified site, extranodal and solid organ sites
1350504	Etoposide	1	202.80	Other malignant lymphomas; unspecified site; extranodal and solid organ sites	44835708	Other malignant lymphomas, unspecified site, extranodal and solid organ sites
1350504	Etoposide	0	204.1	Lymphoid leukemia; chronic	44831013	Lymphoid leukemia, chronic
1350504	Etoposide	0	204.10	Chronic lymphoid leukemia without mention of having achieved remission	44834519	Chronic lymphoid leukemia, without mention of having achieved remission
1350504	Etoposide	0	205.0	Myeloid leukemia; acute	44820645	Myeloid leukemia, acute
1350504	Etoposide	0	205.00	Acute myeloid leukemia without mention of having achieved remission	44826430	Acute myeloid leukemia, without mention of having achieved remission
1350504	Etoposide	1	208	Leukemia of unspecified cell type	44829849	Leukemia of unspecified cell type
1350504	Etoposide	1	208.9	Unspecified leukemia	44827588	Unspecified leukemia
1350504	Etoposide	1	208.90	Unspecified leukemia without mention of having achieved remission	44829852	Unspecified leukemia, without mention of having achieved remission
1350504	Etoposide	1	209.20	Malignant carcinoid tumor of unknown primary site	44827590	Malignant carcinoid tumor of unknown primary site
1350504	Etoposide	0	239.1	Neoplasm of unspecified nature of respiratory system	44829871	Neoplasm of unspecified nature of respiratory system
1350504	Etoposide	0	239.4	Neoplasm of unspecified nature of bladder	44836905	Neoplasm of unspecified nature of bladder
1350504	Etoposide	1	239.5	Neoplasm of unspecified nature of other genitourinary organs	44825257	Neoplasm of unspecified nature of other genitourinary organs
1350504	Etoposide	1	239.6	Neoplasm of unspecified nature of brain	44827611	Neoplasm of unspecified nature of brain
1183554	Isoproterenol	1	426.9	Conduction disorder NOS	44825441	Conduction disorder, unspecified
1183554	Isoproterenol	1	427.1	Paroxysmal ventricular tachycardia	44821956	Paroxysmal ventricular tachycardia
1183554	Isoproterenol	0	427.41	Ventricular fibrillation	44837106	Ventricular fibrillation
1183554	Isoproterenol	0	427.89	Other specified cardiac dysrhythmias	44824249	Other specified cardiac dysrhythmias
1183554	Isoproterenol	1	427.9	Cardiac dysrhythmia NOS	44828981	Cardiac dysrhythmia, unspecified
1183554	Isoproterenol	0	493	Asthma	44821987	Asthma
1183554	Isoproterenol	0	493.9	Asthma; unspecified	44826679	Asthma, unspecified
1183554	Isoproterenol	0	493.90	Asthma; unspecified type; without mention of status asthmaticus	44821988	Asthma, unspecified type, unspecified
1183554	Isoproterenol	0	780.2	Syncope and collapse	44836287	Syncope and collapse
1183554	Isoproterenol	1	785.0	Tachycardia NOS	44821245	Tachycardia, unspecified
19092849	Magnesium Chloride	0	275.2	Disorders of magnesium metabolism	44825273	Disorders of magnesium metabolism
702865	Meprobamate	1	300.00	Anxiety state unspecified	44832239	Anxiety state, unspecified
702865	Meprobamate	0	728.85	Spasm of muscle	44836213	Spasm of muscle
702865	Meprobamate	0	780.79	Other malaise and fatigue	44823445	Other malaise and fatigue
702865	Meprobamate	0	780.96	Generalized pain	44828147	Generalized pain
702865	Meprobamate	0	781.0	Abnormal involuntary movements	44836290	Abnormal involuntary movements
702865	Meprobamate	0	784.0	Headache	44836293	Headache
1351541	Leuprolide	1	185	Malignant neoplasm of prostate	44822887	Malignant neoplasm of prostate
1351541	Leuprolide	1	218	Uterine leiomyoma	44826445	Uterine leiomyoma
1351541	Leuprolide	1	218.9	Uterine leiomyoma NOS	44824064	Leiomyoma of uterus, unspecified
1351541	Leuprolide	0	239.3	Neoplasm of unspecified nature of breast	44826452	Neoplasm of unspecified nature of breast
1351541	Leuprolide	0	239.5	Neoplasm of unspecified nature of other genitourinary organs	44825257	Neoplasm of unspecified nature of other genitourinary organs
1351541	Leuprolide	1	259.1	Precocious sexual development and puberty NEC	44834556	Precocious sexual development and puberty, not elsewhere classified
1351541	Leuprolide	1	285.9	Anemia unspecified	44825282	Anemia, unspecified
1351541	Leuprolide	0	600	Hyperplasia of prostate	44825552	Hyperplasia of prostate
1351541	Leuprolide	0	600.9	Hyperplasia of prostate; unspecified	44829071	Hyperplasia of prostate, unspecified
1351541	Leuprolide	0	600.90	Hyperplasia of prostate; unspecified; without urinary obstruction and other lower urinary symptoms (LUTS)	44830183	Hyperplasia of prostate, unspecified, without urinary obstruction and other lower urinary symptoms (LUTS)
1351541	Leuprolide	1	617	Endometriosis	44826748	Endometriosis
1351541	Leuprolide	1	617.9	Endometriosis; site unspecified	44823204	Endometriosis, site unspecified
1351541	Leuprolide	1	780.96	Generalized pain	44828147	Generalized pain
1351541	Leuprolide	1	V21.1	Puberty	44821526	Puberty
1759270	Pyrantel	0	123.9	Cestode infection NOS	44827533	Cestode infection, unspecified
1759270	Pyrantel	0	126.9	Ancylostomiasis NOS	44832114	Ancylostomiasis and necatoriasis, unspecified
1759270	Pyrantel	0	127.0	Ascariasis	44824014	Ascariasis
1759270	Pyrantel	0	127.3	Trichuriasis	44833274	Trichuriasis
1759270	Pyrantel	0	127.4	Enterobiasis	44833275	Enterobiasis
1759270	Pyrantel	0	127.9	Intestinal helminthiasis; unspecified	44836814	Intestinal helminthiasis, unspecified
1759270	Pyrantel	0	128.9	Helminthiasis NOS	44822861	Helminth infection, unspecified
19027413	Pargyline	0	401.9	Hypertension NOS	44821949	Unspecified essential hypertension
19027413	Pargyline	0	997.91	Hypertension	44830637	Complications affecting other specified body systems, not elsewhere classified, hypertension
19034281	Phenmetrazine	0	278.00	Obesity NOS	44833387	Obesity, unspecified
734275	Phenobarbital	0	277.4	Disorders of bilirubin excretion	44828810	Disorders of bilirubin excretion
734275	Phenobarbital	1	300.00	Anxiety state unspecified	44832239	Anxiety state, unspecified
734275	Phenobarbital	0	307.9	Other and unspecified special symptoms or syndromes; not elsewhere classified	44824136	Other and unspecified special symptoms or syndromes, not elsewhere classified
734275	Phenobarbital	0	345.10	Generalized convulsive epilepsy; without mention of intractable epilepsy	44824160	Generalized convulsive epilepsy, without mention of intractable epilepsy
734275	Phenobarbital	1	345.3	Grand mal status; epileptic	44826554	Grand mal status
734275	Phenobarbital	0	345.50	Partial epilepsy without impairment of consciousness without intractable epilepsy	44823025	Localization-related (focal) (partial) epilepsy and epileptic syndromes with simple partial seizures, without mention of intractable epilepsy
734275	Phenobarbital	0	779.0	Convulsions in newborn	44830436	Convulsions in newborn
734275	Phenobarbital	0	780.31	Febrile convulsions	44820053	Febrile convulsions (simple), unspecified
734275	Phenobarbital	1	780.39	Other convulsions	44830440	Other convulsions
19011437	icodextrin	0	782.3	Edema	44832710	Edema
19011437	icodextrin	0	789.5	Ascites	44822307	Ascites
19011437	icodextrin	0	789.59	Other ascites	44820070	Other ascites
501343	hepatitis B immune globulin	0	070.30	Viral hepatitis B without mention of hepatic coma; acute or unspecified; without mention of hepatitis delta	44823979	Viral hepatitis B without mention of hepatic coma, acute or unspecified, without mention of hepatitis delta
1709170	meropenem	0	036.0	Meningococcal meningitis	44827486	Meningococcal meningitis
1709170	meropenem	0	041.49	Other and unspecified Escherichia coli [E. coli]	44829736	Other and unspecified Escherichia coli [E. coli]
1709170	meropenem	0	041.7	Pseudomonas infection in conditions classified elsewhere and of unspecified site	44827490	Pseudomonas infection in conditions classified elsewhere and of unspecified site
1709170	meropenem	0	041.84	Other anaerobe infection in conditions classified elsewhere and of unspecified site	44821671	Other specified bacterial infections in conditions classified elsewhere and of unspecified site, other anaerobes
1709170	meropenem	1	136.9	Unspecified infectious and parasitic diseases	44834472	Unspecified infectious and parasitic diseases
1709170	meropenem	0	288.0	Agranulocytosis	44833395	Neutropenia
1709170	meropenem	0	288.00	Neutropenia NOS	44824103	Neutropenia, unspecified
1709170	meropenem	0	320.0	Hemophilus meningitis	44831116	Hemophilus meningitis
1709170	meropenem	0	320.1	Pneumococcal meningitis	44824144	Pneumococcal meningitis
1709170	meropenem	1	322	Meningitis of unspecified cause	44833429	Meningitis of unspecified cause
1709170	meropenem	1	322.9	Meningitis NOS	44823000	Meningitis, unspecified
1709170	meropenem	1	486	Pneumonia; organism unspecified	44829009	Pneumonia, organism unspecified
1709170	meropenem	1	519.8	Other diseases of respiratory system; not elsewhere classified	44826687	Other diseases of respiratory system, not elsewhere classified
1709170	meropenem	1	541	Appendicitis unqualified	44834808	Appendicitis, unqualified
1709170	meropenem	1	567.9	Peritonitis NOS	44823183	Unspecified peritonitis
1709170	meropenem	1	599.0	Urinary tract infection; site not specified	44820980	Urinary tract infection, site not specified
1709170	meropenem	0	780.60	Fever; unspecified	44824617	Fever, unspecified
19051865	Muromonab-CD3	0	279.5	Graft-versus-host disease	44829905	Graft-versus-host disease
19051865	Muromonab-CD3	0	279.50	Graft-versus-host disease; unspecified	44828814	Graft-versus-host disease, unspecified
1301152	Melatonin	0	327.35	Circadian rhythm sleep disorder; jet lag type	44825325	Circadian rhythm sleep disorder, jet lag type
1401581	Metyrosine	1	239.7	Neoplasm of unspecified nature of endocrine glands and other parts of nervous system	44826453	Neoplasm of unspecified nature of endocrine glands and other parts of nervous system
1401581	Metyrosine	1	239.9	Neoplasm of unspecified nature; site unspecified	44821781	Neoplasm of unspecified nature, site unspecified
1401581	Metyrosine	1	401	Essential hypertension	44833556	Essential hypertension
1401581	Metyrosine	1	401.9	Hypertension NOS	44821949	Unspecified essential hypertension
1401581	Metyrosine	1	997.91	Hypertension	44830637	Complications affecting other specified body systems, not elsewhere classified, hypertension
1368671	Milrinone	1	428	Heart failure	44824250	Heart failure
1368671	Milrinone	1	428.0	Congestive heart failure (CHF) NOS	44826642	Congestive heart failure, unspecified
1368671	Milrinone	1	428.9	Heart failure unspecified	44827796	Heart failure, unspecified
1368671	Milrinone	0	977.9	Poisoning by unspecified drug or medicinal substance	44831777	Poisoning by unspecified drug or medicinal substance
1524769	Oxandrolone	1	136.9	Unspecified infectious and parasitic diseases	44834472	Unspecified infectious and parasitic diseases
1524769	Oxandrolone	0	261	Nutritional marasmus	44826466	Nutritional marasmus
1524769	Oxandrolone	1	608.3	Atrophy of testis	44836048	Atrophy of testis
1524769	Oxandrolone	1	733.0	Osteoporosis	44824536	Osteoporosis
1524769	Oxandrolone	1	733.00	Osteoporosis NOS	44822235	Osteoporosis, unspecified
1524769	Oxandrolone	1	733.90	Disorder of bone and cartilage; unspecified	44830366	Disorder of bone and cartilage, unspecified
1524769	Oxandrolone	1	783.21	Loss of weight	44828149	Loss of weight
1524769	Oxandrolone	1	783.9	Other symptoms concerning nutrition; metabolism; and development	44821240	Other symptoms concerning nutrition, metabolism, and development
724816	Oxazepam	0	291.0	Alcohol withdrawal delirium	44826487	Alcohol withdrawal delirium
724816	Oxazepam	1	291.81	Alcohol withdrawal	44829916	Alcohol withdrawal
724816	Oxazepam	1	300.00	Anxiety state unspecified	44832239	Anxiety state, unspecified
724816	Oxazepam	1	300.9	Unspecified nonpsychotic mental disorder	44831094	Unspecified nonpsychotic mental disorder
724816	Oxazepam	1	307.9	Other and unspecified special symptoms or syndromes; not elsewhere classified	44824136	Other and unspecified special symptoms or syndromes, not elsewhere classified
724816	Oxazepam	1	308.2	Predominant psychomotor disturbance	44833418	Predominant psychomotor disturbance
724816	Oxazepam	0	345.50	Partial epilepsy without impairment of consciousness without intractable epilepsy	44823025	Localization-related (focal) (partial) epilepsy and epileptic syndromes with simple partial seizures, without mention of intractable epilepsy
724816	Oxazepam	1	799.21	Nervousness (ADDED)	44820075	Nervousness
724816	Oxazepam	1	799.22	Irritability (ADDED)	44830462	Irritability
724816	Oxazepam	1	799.89	Other ill-defined conditions	44837456	Other ill-defined conditions
1304643	darbepoetin alfa	1	285.9	Anemia unspecified	44825282	Anemia, unspecified
1304643	darbepoetin alfa	1	585.6	End stage renal disease	44827889	End stage renal disease
1304643	darbepoetin alfa	1	585.9	Chronic kidney disease; unspecified	44836035	Chronic kidney disease, unspecified
1304643	darbepoetin alfa	1	586	Renal failure unspecified	44829062	Renal failure, unspecified
19003999	mycophenolate mofetil	0	279.5	Graft-versus-host disease	44829905	Graft-versus-host disease
19003999	mycophenolate mofetil	0	279.50	Graft-versus-host disease; unspecified	44828814	Graft-versus-host disease, unspecified
19003999	mycophenolate mofetil	0	696.1	Other psoriasis and similar disorders excluding psoriatic arthropathy	44819938	Other psoriasis
1136422	levocetirizine	1	477.0	Allergic rhinitis due to pollen	44831272	Allergic rhinitis due to pollen
1136422	levocetirizine	1	477.9	Allergic rhinitis NOS	44835974	Allergic rhinitis, cause unspecified
1136422	levocetirizine	1	708	Urticaria	44822178	Urticaria
1136422	levocetirizine	1	708.9	Unspecified urticaria	44833802	Urticaria, unspecified
1189697	eletriptan	0	296.99	Other specified episodic mood disorder	44822983	Other specified episodic mood disorder
1189697	eletriptan	1	346	Migraine	44829973	Migraine
1189697	eletriptan	1	346.00	Migraine with aura; without mention of intractable migraine without mention of status migrainosus	44834636	Migraine with aura, without mention of intractable migraine without mention of status migrainosus
1189697	eletriptan	1	346.9	Migraine; unspecified	44819592	Migraine, unspecified
1189697	eletriptan	1	346.90	Migraine; unspecified; without mention of intractable migraine without mention of status migrainosus	44825342	Migraine, unspecified, without mention of intractable migraine without mention of status migrainosus
1189697	eletriptan	0	780.96	Generalized pain	44828147	Generalized pain
1189697	eletriptan	1	784.0	Headache	44836293	Headache
1189697	eletriptan	0	787.02	Nausea alone	44831591	Nausea alone
1558471	cabergoline	1	227.3	Benign neoplasm of pituitary gland and craniopharyngeal duct (pouch)	44821772	Benign neoplasm of pituitary gland and craniopharyngeal duct
1558471	cabergoline	1	229.9	Benign neoplasm NOS	44829863	Benign neoplasm of unspecified site
1558471	cabergoline	1	239.7	Neoplasm of unspecified nature of endocrine glands and other parts of nervous system	44826453	Neoplasm of unspecified nature of endocrine glands and other parts of nervous system
1558471	cabergoline	1	253.1	Other and unspecified anterior pituitary hyperfunction	44825266	Other and unspecified anterior pituitary hyperfunction
1558471	cabergoline	0	332	Parkinson's disease	44826540	Parkinson's disease
1558471	cabergoline	0	332.0	Paralysis agitans	44819574	Paralysis agitans
1515249	troglitazone	1	250.00	type II diabetes mellitus [non-insulin dependent type] [NIDDM type] [adult-onset type] or unspecified type; not stated as uncontrolled; without mention of complication	44836914	Diabetes mellitus without mention of complication, type II or unspecified type, not stated as uncontrolled
19002829	Tolazoline	0	337.20	Reflex sympathetic dystrophy; unspecified	44829960	Reflex sympathetic dystrophy, unspecified
19002829	Tolazoline	0	440.9	Atherosclerosis NOS	44835957	Generalized and unspecified atherosclerosis
19002829	Tolazoline	0	443.0	Raynaud's syndrome	44833583	Raynaud's syndrome
19002829	Tolazoline	0	443.1	Thromboangiitis obliterans [Buerger's disease]	44821962	Thromboangiitis obliterans [Buerger's disease]
19002829	Tolazoline	0	443.9	Peripheral vascular disease; unspecified	44835959	Peripheral vascular disease, unspecified
19002829	Tolazoline	0	451.9	Phlebitis and thrombophlebitis of unspecified site	44832402	Phlebitis and thrombophlebitis of unspecified site
19002829	Tolazoline	0	710.1	Systemic sclerosis	44832613	Systemic sclerosis
19002829	Tolazoline	0	728.85	Spasm of muscle	44836213	Spasm of muscle
19002829	Tolazoline	0	746.9	Unspecified congenital anomaly of heart	44825753	Unspecified congenital anomaly of heart
19002829	Tolazoline	0	747.83	Persistent fetal circulation	44832682	Persistent fetal circulation
19002829	Tolazoline	0	781.0	Abnormal involuntary movements	44836290	Abnormal involuntary movements
1502855	Tolbutamide	0	250.00	type II diabetes mellitus [non-insulin dependent type] [NIDDM type] [adult-onset type] or unspecified type; not stated as uncontrolled; without mention of complication	44836914	Diabetes mellitus without mention of complication, type II or unspecified type, not stated as uncontrolled
1502855	Tolbutamide	0	251.2	Hypoglycemia NOS	44831048	Hypoglycemia, unspecified
1502855	Tolbutamide	0	790.6	Other abnormal blood chemistry	44837444	Other abnormal blood chemistry
581480	pegademase bovine	1	279.2	Combined immunity deficiency	44835764	Combined immunity deficiency
1325608	pegfilgrastim	1	136.9	Unspecified infectious and parasitic diseases	44834472	Unspecified infectious and parasitic diseases
1325608	pegfilgrastim	1	288.0	Agranulocytosis	44833395	Neutropenia
1325608	pegfilgrastim	1	288.00	Neutropenia NOS	44824103	Neutropenia, unspecified
1714165	peginterferon alfa-2a	1	042	Human immunodeficiency virus [HIV] disease	44829737	Human immunodeficiency virus [HIV] disease
1714165	peginterferon alfa-2a	0	070.31	Viral hepatitis B without mention of hepatic coma; acute or unspecified; with hepatitis delta	44829750	Viral hepatitis B without mention of hepatic coma, acute or unspecified, with hepatitis delta
1714165	peginterferon alfa-2a	1	070.32	Viral hepatitis B without mention of hepatic coma; chronic; without mention of hepatitis delta	44829751	Chronic viral hepatitis B without mention of hepatic coma without mention of hepatitis delta
1714165	peginterferon alfa-2a	1	070.54	Chronic hepatitis C without mention of hepatic coma	44819379	Chronic hepatitis C without mention of hepatic coma
1714165	peginterferon alfa-2a	1	070.7	Unspecified viral hepatitis C	44828694	Unspecified viral hepatitis C
1714165	peginterferon alfa-2a	1	070.70	Unspecified viral hepatitis C without hepatic coma	44828695	Unspecified viral hepatitis C without hepatic coma
1714165	peginterferon alfa-2a	1	070.9	Unspecified viral hepatitis without mention of hepatic coma	44829754	Unspecified viral hepatitis without mention of hepatic coma
1714165	peginterferon alfa-2a	0	078.1	Viral warts	44836794	Viral warts
1714165	peginterferon alfa-2a	0	078.10	Viral warts; unspecified	44826350	Viral warts, unspecified
1714165	peginterferon alfa-2a	1	079.99	Unspecified viral infection in conditions classified elsewhere and of unspecified site	44822836	Unspecified viral infection
1714165	peginterferon alfa-2a	1	136.9	Unspecified infectious and parasitic diseases	44834472	Unspecified infectious and parasitic diseases
1714165	peginterferon alfa-2a	0	155.0	Malignant neoplasm of liver; primary	44819423	Malignant neoplasm of liver, primary
1714165	peginterferon alfa-2a	0	172.9	Melanoma of skin; site unspecified	44828736	Melanoma of skin, site unspecified
1714165	peginterferon alfa-2a	0	176	Kaposi's sarcoma	44833300	Kaposi's sarcoma
1714165	peginterferon alfa-2a	0	176.9	Kaposi's sarcoma NOS	44826407	Kaposi's sarcoma, unspecified site
1714165	peginterferon alfa-2a	0	189.0	Malignant neoplasm of kidney; except pelvis	44819440	Malignant neoplasm of kidney, except pelvis
1714165	peginterferon alfa-2a	0	202.1	Mycosis fungoides	44827579	Mycosis fungoides
1714165	peginterferon alfa-2a	0	202.10	Mycosis fungoides; unspecified site; extranodal and solid organ sites	44829839	Mycosis fungoides, unspecified site, extranodal and solid organ sites
1714165	peginterferon alfa-2a	0	202.2	Sezary's disease	44832148	Sezary's disease
1714165	peginterferon alfa-2a	0	202.20	Sezary's disease; unspecified site; extranodal and solid organ sites	44825225	Sezary's disease, unspecified site, extranodal and solid organ sites
1714165	peginterferon alfa-2a	0	202.4	Leukemic reticuloendotheliosis	44835705	Leukemic reticuloendotheliosis
1714165	peginterferon alfa-2a	0	202.40	Leukemic reticuloendotheliosis; unspecified site; extranodal and solid organ sites	44822903	Leukemic reticuloendotheliosis, unspecified site, extranodal and solid organ sites
1714165	peginterferon alfa-2a	0	203.0	Multiple myeloma	44833334	Multiple myeloma
1714165	peginterferon alfa-2a	0	203.00	Multiple myeloma without mention of having achieved remission	44833335	Multiple myeloma, without mention of having achieved remission
1714165	peginterferon alfa-2a	0	228.0	Hemangioma; any site	44836897	Hemangioma, any site
1714165	peginterferon alfa-2a	0	228.00	Hemangioma NOS	44819487	Hemangioma of unspecified site
1714165	peginterferon alfa-2a	0	238.71	Essential thrombocythemia	44833360	Essential thrombocythemia
1714165	peginterferon alfa-2a	0	239.0	Neoplasm of unspecified nature of digestive system	44832186	Neoplasm of unspecified nature of digestive system
1714165	peginterferon alfa-2a	0	239.2	Neoplasm of unspecified nature of bone; soft tissue; and skin	44836904	Neoplasm of unspecified nature of bone, soft tissue, and skin
1714165	peginterferon alfa-2a	0	239.6	Neoplasm of unspecified nature of brain	44827611	Neoplasm of unspecified nature of brain
1714165	peginterferon alfa-2a	0	273.2	Other paraproteinemias	44833381	Other paraproteinemias
1714165	peginterferon alfa-2a	0	287.5	Thrombocytopenia NOS	44825284	Thrombocytopenia, unspecified
1714165	peginterferon alfa-2a	0	362.50	Macular degeneration (senile) of retina NOS	44823043	Macular degeneration (senile), unspecified
1714165	peginterferon alfa-2a	1	571.5	Cirrhosis of liver without mention of alcohol	44832477	Cirrhosis of liver without mention of alcohol
1714165	peginterferon alfa-2a	0	707.9	Chronic ulcer of unspecified site	44828017	Chronic ulcer of unspecified site
1714165	peginterferon alfa-2a	0	709.8	Other specified disorders of skin	44837317	Other specified disorders of skin
1714165	peginterferon alfa-2a	0	790.99	Other nonspecific findings on examination of blood	44830455	Other nonspecific findings on examination of blood
1501700	Thyroxine	0	239.7	Neoplasm of unspecified nature of endocrine glands and other parts of nervous system	44826453	Neoplasm of unspecified nature of endocrine glands and other parts of nervous system
1501700	Thyroxine	1	240.9	Goiter NOS	44828783	Goiter, unspecified
1501700	Thyroxine	1	242	Thyrotoxicosis with or without goiter	44828784	Thyrotoxicosis with or without goiter
1501700	Thyroxine	1	242.90	Thyrotoxicosis without mention of goiter or other cause; and without mention of thyrotoxic crisis or storm	44829872	Thyrotoxicosis without mention of goiter or other cause, and without mention of thyrotoxic crisis or storm
1501700	Thyroxine	1	243	Congenital hypothyroidism	44829873	Congenital hypothyroidism
1501700	Thyroxine	1	244.9	Hypothyroidism NOS	44828786	Unspecified acquired hypothyroidism
