rxnorm_ingredient_concept_id	rxnorm_ingredient_concept_name	atc5_concept_name	atc3_concept_name	atc1_concept_name
43126013	Methylenecycline hydrochloride			
43126014	Abies Nigra for homeopathic preparations			
43126015	Antigens Surface Of Virus Influenza, strain B / Brisbane / 9/2014 Wild Type			
43126016	lactoprotein methylenic			
43126017	Vipera Ammodytes Venom equine immunoglobulin			
43126018	Helonias Dioica for homeopathic preparations			
43126019	Influenza Virus Surface Antigen, strain A / Victoria / 361/2011 H3N2 - Derived Strain Used Ivr-165			
43126020	Orthosiphon extract			
43126021	Cassis leaf extract			
43126022	Pectoral species extract			
43126023	Neisseria meningitidis polysaccharide group Y tetanus toxoid conjugate			
43126024	Orthosiphon liquid extract			
43126025	Lopobutan			
43126026	Apium Dulce for homeopathic preparations			
43126027	Influenza Virus Fragmented, Inactivated, Strain A / Switzerland / 9715293/2013 H3N2 - Analogue Strain A / South Australia / 55/2014 Ivr-175			
43126028	Ambra Grisea for homeopathic preparations			
43126029	Dihydrogen citrate anhydrous			
43126030	Sabal serrulata for homeopathic preparations			
43126031	Dibenzothiazole disulfide			
43126032	Erica cinerea extract			
43126033	Carbo Vegetabilis for homeopathic preparations			
43126034	Human Immunoglobulin Anti-D			
43126035	Amifampridine phosphate			
43126036	3,3-diphosphono-1,2-propanedicarboxylic monohydrate tetrasodium salt			
43126037	Agaricus Bulbosus for homeopathic preparations			
43126038	Centipede Officinal for homeopathic preparations			
43126039	Pneumococcal polysaccharide conjugate serotype 6A in CRM197 carrier protein			
43126040	Tiliquinol laurylsulfate			
43126041	Vanniers Willow Leaf for homeopathic preparations			
43126042	Osseinum hydroxyapatitum			
43126043	Veratrole			
43126044	Quinisocain hydrochloride			
43126045	Lythrum salicaria extract			
43126046	Cocculus Indicus for homeopathic preparations			
43126047	Ailanthus Glandulosa for homeopathic preparations			
43126048	Influenza Virus Surface Antigen, Inactivated, Strain A / Switzerland / 9715293/2013 H3N2 - Analogue Strain A / South Australia / 55/2014 Type Wild			
43126049	Alchemilla Vulgaris for homeopathic preparations			
43126050	Orthosiphon			
43126051	Bromum for homeopathic preparations			
43126052	Cinchonidine hydrochloride			
43126053	Aspidium Filix Mas for homeopathic preparations			
43126054	Raubasine			
43126055	Zinc diethyldithiocarbamate			
43126056	Agraphis Nutans for homeopathic preparations			
43126057	Protein concentrate coagulable			
43126058	Aqua Marina for homeopathic preparations			
43126059	Ampelopsis Quinquefolia for homeopathic preparations			
43126060	Besilesomab			
43126061	Purple Leaf extract			
43126062	Fluorocholine [18f] chloride			
43126063	Arum Triphyllum for homeopathic preparations			
43126064	Heracleum sphondylium for homeopathic preparations			
43126065	Alimemazine tartrate			
43126066	Cypripedium Pubescens for homeopathic preparations			
43126067	Muriaticum Acidum for homeopathic preparations			
43126068	Angustura Vera for homeopathic preparations			
43126069	China Rubra for homeopathic preparations			
43126070	Phellandrium Aquaticum for homeopathic preparations			
43126071	Porfimer sodium			
43126072	Anacardium Orientale for homeopathic preparations			
43126073	Valpromide			
43126074	Hydroxymethylsuccinimide			
43126075	Alfa dibotermin			
43126076	Dimecrotate Magnesium			
43126077	Influenza Virus Fragmented, Inactivated, Strain A / Switzerland / 9715293/2013 H3N2 - Analogue Strain A / Switzerland / 9715293/2013, Nib-88			
43126078	Coccus Cacti for homeopathic preparations			
43126079	sodium Sulfosilicoaluminate			
43126080	Dolichos Pruriens for homeopathic preparations			
43126081	Stram for homeopathic preparations			
43126082	P-Tert-Butylphenolformaldehyde resin			
43126083	Genista Scoparia for homeopathic preparations			
43126084	Anantherum muricatum for homeopathic preparations			
43126085	Mezereum for homeopathic preparations			
43125862	Leptospira Icterohaemorrhagiae			
43125863	Terebenthina for homeopathic preparations			
43125864	Abies Pectinata for homeopathic preparations			
43125865	Rubidium [81 Rb] Chloride			
43125866	Ritiometan Magnesian			
43125867	Galactan sulfate			
42900552	xanthine			
42900554	shark preparation			
712615	ziprasidone	Indole derivatives	PSYCHOLEPTICS	NERVOUS SYSTEM
19044747	zirconium oxide			
19102107	zofenopril	ACE inhibitors, plain	AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM	CARDIOVASCULAR SYSTEM
1524674	zoledronic acid	Bisphosphonates	DRUGS FOR TREATMENT OF BONE DISEASES	MUSCULO-SKELETAL SYSTEM
1116031	zolmitriptan	Selective serotonin (5HT1) agonists	ANALGESICS	NERVOUS SYSTEM
19026707	sulfacytine			
19100418	sulfaethidole			
19040624	sulfametrole			
19043266	vanadyl sulfate			
19036942	pramiverine			
918881	oxybenzone			
19028945	pridinol	Other centrally acting agents	MUSCLE RELAXANTS	MUSCULO-SKELETAL SYSTEM
19009540	Vitamin E	Other plain vitamin preparations	VITAMINS	ALIMENTARY TRACT AND METABOLISM
19100775	toloxatone	Monoamine oxidase A inhibitors	PSYCHOANALEPTICS	NERVOUS SYSTEM
19042191	tolrestat	Aldose reductase inhibitors	DRUGS USED IN DIABETES	ALIMENTARY TRACT AND METABOLISM
913782	tolterodine	Drugs for urinary frequency and incontinence	UROLOGICALS	GENITO URINARY SYSTEM AND SEX HORMONES
19018516	azidocillin	Beta-lactamase sensitive penicillins	ANTIBACTERIALS FOR SYSTEMIC USE	ANTIINFECTIVES FOR SYSTEMIC USE
1734205	bacampicillin	Penicillins with extended spectrum	ANTIBACTERIALS FOR SYSTEMIC USE	ANTIINFECTIVES FOR SYSTEMIC USE
19015787	normethadone	Opium alkaloids and derivatives	COUGH AND COLD PREPARATIONS	RESPIRATORY SYSTEM
19015812	cathine	Centrally acting antiobesity products	ANTIOBESITY PREPARATIONS, EXCL. DIET PRODUCTS	ALIMENTARY TRACT AND METABOLISM
1135710	Phenylbutazone	Antiinflammatory preparations, non-steroids for topical use	TOPICAL PRODUCTS FOR JOINT AND MUSCULAR PAIN	MUSCULO-SKELETAL SYSTEM
19043327	veralipride	Benzamides	PSYCHOLEPTICS	NERVOUS SYSTEM
1508241	policosanol	Other lipid modifying agents	LIPID MODIFYING AGENTS	CARDIOVASCULAR SYSTEM
19094980	polyestradiol			
1326481	pegaspargase	Other antineoplastic agents	ANTINEOPLASTIC AGENTS	ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS
19026609	polynoxylin	Other antifungals for topical use	ANTIFUNGALS FOR DERMATOLOGICAL USE	DERMATOLOGICALS
19044317	zinc chloride	Electrolyte solutions	BLOOD SUBSTITUTES AND PERFUSION SOLUTIONS	BLOOD AND BLOOD FORMING ORGANS
19050644	zinc hydroxide			
571187	OspA protein			
19136036	Selenomethionine			
19065778	CHROMIUM ASPARTATE			
19103213	CHROMIUM CITRATE			
944360	zinc pyrithione	Other dermatologicals	OTHER DERMATOLOGICAL PREPARATIONS	DERMATOLOGICALS
19056756	Tegafur	Pyrimidine analogues	ANTINEOPLASTIC AGENTS	ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS
1738366	cefprozil	Second-generation cephalosporins	ANTIBACTERIALS FOR SYSTEMIC USE	ANTIINFECTIVES FOR SYSTEMIC USE
19018545	benzonidazole	Nitroimidazole derivatives	ANTIPROTOZOALS	ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS
1150886	chlophedianol	Other cough suppressants	COUGH AND COLD PREPARATIONS	RESPIRATORY SYSTEM
19007600	Soybean preparation			
1125443	Dornase Alfa	Mucolytics	COUGH AND COLD PREPARATIONS	RESPIRATORY SYSTEM
19041933	tibolone	Other estrogens	SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM	GENITO URINARY SYSTEM AND SEX HORMONES
19018402	tilbroquinol	Hydroxyquinoline derivatives	ANTIPROTOZOALS	ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS
19011064	tiludronic acid	Bisphosphonates	DRUGS FOR TREATMENT OF BONE DISEASES	MUSCULO-SKELETAL SYSTEM
1548111	cinacalcet	Other anti-parathyroid agents	CALCIUM HOMEOSTASIS	SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS
19010696	Zinc			
19009405	Vitamin D			
19052317	Proflavine			
1552310	Progesterone	Pregnen (4) derivatives	SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM	GENITO URINARY SYSTEM AND SEX HORMONES
19060423	Quinestrol			
19009165	Plicamycin	Other cytotoxic antibiotics	ANTINEOPLASTIC AGENTS	ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS
19067803	Sincalide	Tests for bile duct patency	DIAGNOSTIC AGENTS	VARIOUS
19078219	Sufentanil	Opioid anesthetics	ANESTHETICS	NERVOUS SYSTEM
1836241	Sulbactam	Beta-lactamase inhibitors	ANTIBACTERIALS FOR SYSTEMIC USE	ANTIINFECTIVES FOR SYSTEMIC USE
19000817	Sulbenicillin	Penicillins with extended spectrum	ANTIBACTERIALS FOR SYSTEMIC USE	ANTIINFECTIVES FOR SYSTEMIC USE
916230	darifenacin	Drugs for urinary frequency and incontinence	UROLOGICALS	GENITO URINARY SYSTEM AND SEX HORMONES
19012565	Mycophenolic Acid	Selective immunosuppressants	IMMUNOSUPPRESSANTS	ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS
19115051	risedronic acid	Bisphosphonates	DRUGS FOR TREATMENT OF BONE DISEASES	MUSCULO-SKELETAL SYSTEM
19008374	Tea Tree Oil			
19135852	Technetium 99m			
19029215	propylparaben			
19095285	ethanolamine oleate			
19095288	ethaverine			
905371	Methylcellulose	Bulk-forming laxatives	DRUGS FOR CONSTIPATION	ALIMENTARY TRACT AND METABOLISM
19033498	Carbutamide	Sulfonylureas	DRUGS USED IN DIABETES	ALIMENTARY TRACT AND METABOLISM
950933	Castor Oil	Contact laxatives	DRUGS FOR CONSTIPATION	ALIMENTARY TRACT AND METABOLISM
19036781	Calcium Chloride	Acidifiers	UROLOGICALS	GENITO URINARY SYSTEM AND SEX HORMONES
997496	Cinoxacin	Other quinolones	ANTIBACTERIALS FOR SYSTEMIC USE	ANTIINFECTIVES FOR SYSTEMIC USE
1797513	Ciprofloxacin	Fluoroquinolones	OPHTHALMOLOGICALS	SENSORY ORGANS
19050216	Cilazapril	ACE inhibitors, plain	AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM	CARDIOVASCULAR SYSTEM
1711759	Dapsone	Drugs for treatment of lepra	ANTIMYCOBACTERIALS	ANTIINFECTIVES FOR SYSTEMIC USE
19023184	Clove oil			
1800835	Cloxacillin	Beta-lactamase resistant penicillins	ANTIBACTERIALS FOR SYSTEMIC USE	ANTIINFECTIVES FOR SYSTEMIC USE
19026096	Diflucortolone	Corticosteroids, potent, other combinations	CORTICOSTEROIDS, DERMATOLOGICAL PREPARATIONS	DERMATOLOGICALS
1792429	Proguanil	Biguanides	ANTIPROTOZOALS	ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS
19017895	Deoxycorticosterone	Mineralocorticoids	CORTICOSTEROIDS FOR SYSTEMIC USE	SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS
19018638	Cambendazole			
586302	Diptheria protein			
1163570	Aurothioglucose	Gold preparations	ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS	MUSCULO-SKELETAL SYSTEM
19101654	Cetyl dimethicone			
989301	Cetylpyridinium	Antiseptics	THROAT PREPARATIONS	RESPIRATORY SYSTEM
901845	Colistin	Polymyxins	ANTIBACTERIALS FOR SYSTEMIC USE	ANTIINFECTIVES FOR SYSTEMIC USE
43533033	apricot fruit oil			
42903680	Annatto Extract			
42903681	n-butyl acrylate			
42900370	aluminum hydrate			
42900371	bergamot oil			
19100412	stearyl alcohol			
19100413	stevioside			
19100414	strontium chloride			
19118265	succinylated gelatin			
952004	sevelamer	Drugs for treatment of hyperkalemia and hyperphosphatemia	ALL OTHER THERAPEUTIC PRODUCTS	VARIOUS
741530	orlistat	Peripherally acting antiobesity products	ANTIOBESITY PREPARATIONS, EXCL. DIET PRODUCTS	ALIMENTARY TRACT AND METABOLISM
19003691	oxaceprol	Other antiinflammatory and antirheumatic agents, non-steroids	ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS	MUSCULO-SKELETAL SYSTEM
19011018	Zinc Orotate			
911064	Zinc Oxide			
1749083	ceftibuten	Third-generation cephalosporins	ANTIBACTERIALS FOR SYSTEMIC USE	ANTIINFECTIVES FOR SYSTEMIC USE
1118084	celecoxib	Coxibs	ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS	MUSCULO-SKELETAL SYSTEM
1586226	Cerivastatin sodium			
19071314	oxatomide	Piperazine derivatives	ANTIHISTAMINES FOR SYSTEMIC USE	RESPIRATORY SYSTEM
1719061	oxychlorosene			
19025922	oxypertine	Indole derivatives	PSYCHOLEPTICS	NERVOUS SYSTEM
19019094	oxyphencyclimine	Synthetic anticholinergics, esters with tertiary amino group	DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS	ALIMENTARY TRACT AND METABOLISM
19082895	oxypolygelatine			
19004098	Methandrostenolone	Androgens for topical use	OTHER DERMATOLOGICAL PREPARATIONS	DERMATOLOGICALS
19089992	diphenidol			
19035856	distigmine	Anticholinesterases	OTHER NERVOUS SYSTEM DRUGS	NERVOUS SYSTEM
1344996	Moricizine	Other antiarrhythmics, class I and III	CARDIAC THERAPY	CARDIOVASCULAR SYSTEM
1110410	Morphine	Natural opium alkaloids	ANALGESICS	NERVOUS SYSTEM
948787	Polythiazide	Thiazides, plain	DIURETICS	CARDIOVASCULAR SYSTEM
766067	Secobarbital	Barbiturates, combinations	PSYCHOLEPTICS	NERVOUS SYSTEM
19088340	dextranomer	Other cicatrizants	PREPARATIONS FOR TREATMENT OF WOUNDS AND ULCERS	DERMATOLOGICALS
19096487	florfenicol			
1395773	iron sucrose	Iron, parenteral preparations	ANTIANEMIC PREPARATIONS	BLOOD AND BLOOD FORMING ORGANS
40162033	Fusarium extract			
40162037	Gambels oak pollen extract			
40176125	Penicillium italicum extract			
40176129	Penicillium roquefortii allergenic extract			
40165636	pitavastatin	HMG CoA reductase inhibitors	LIPID MODIFYING AGENTS	CARDIOVASCULAR SYSTEM
40170858	peach allergenic extract			
40170862	peanut allergenic extract			
40170868	pecan allergenic extract			
40162029	Fremont cottonwood pollen extract			
40226579	fingolimod	Selective immunosuppressants	IMMUNOSUPPRESSANTS	ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS
40183759	HEPTANOIC ACID			
40238145	orris root allergenic extract			
40222500	rough cocklebur pollen extract			
40170973	European rabbit hair extract			
40170979	European rabbit skin extract			
40162170	yellow dock pollen extract			
42899429	Litchi fruit extract			
42899430	Khaya senegalensis bark extract			
42899431	Kigelia africana fruit extract			
42899432	Klebsiella pneumoniae			
42899434	Inonotus obliquus fruiting body extract			
42899436	Krameria lappacea root extract			
42899437	LACHESIS MUTA VENOM			
42899438	LACTOPEROXIDASE			
42899439	LANOLIN OIL			
42899440	LAURAMIDOPROPYL BETAINE			
42899441	LEVANT COTTONSEED OIL			
42899442	LIGHT GREEN SF YELLOWISH			
42899443	LIPPIA CITRIODORA FLOWERING TOP OIL			
42899444	LITSEA OIL			
42899445	LOVAGE OIL			
42899894	Pimpinella saxifraga root extract			
42899895	Pyracantha fortuneana fruit extract			
42899896	Pinellia ternata root extract			
42899897	Pinus densiflora bark extract			
42899898	Pinus massoniana resin			
42899899	Pinus strobus bark extract			
42899900	Pinus sylvestris flowering top extract			
42899901	PINUS SYLVESTRIS LEAFY TWIG			
42899902	Pinus tabuliformis bark extract			
42899903	Piper cubeba fruit extract			
42899904	Piper kadsura stem extract			
42899905	Piper methysticum root extract			
42898180	1,1-difluoroethane			
42898181	1,10-decanediol			
42899449	Interleukin-3			
42899450	Interleukin-9			
42899451	Inula helenium root extract			
42899454	Lactobacillus helveticus			
42899461	Lactuca virosa extract			
42899462	Lactuca virosa leaf extract			
42899463	Laminaria digitata preparation			
42899464	Lamium album flower extract			
42899465	JUNIPERUS DEPPEANA WOOD OIL			
42899466	JUNIPERUS VIRGINIANA OIL			
42899467	Jacaranda caroba flower extract			
42899234	Guazuma ulmifolia leaf extract			
42900536	Thallium			
42900537	thallium sulfate			
42900538	sesame seed extract			
42900543	white mulberry extract			
42900544	white pine oil			
42900548	silver birch pollen allergenic extract			
42900549	silver citrate			
42900550	wine grape extract			
42900551	xanthan gum			
42900555	sodium hypophosphite			
42900556	tomato juice			
42900559	sorbitan olivate			
42900560	strontium bromide			
42900561	succinate			
42900563	sulisobenzone			
42900564	sunflower seed extract			
42900565	triethylamine			
42900567	safflower extract			
42900569	salinomycin			
42900570	tallow acid, beef			
42900571	samarium oxide			
42900572	sandalwood oil			
42900573	tangerine peel extract			
19061626	ferric phosphate			
42900574	tulathromycin			
42900581	tumeric oil			
42900584	teriflunomide	Selective immunosuppressants	IMMUNOSUPPRESSANTS	ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS
42899473	Jasminum officinale flower extract			
42899474	Jateorhiza calumba root extract			
42899475	Jatropha curcas seed extract			
42899476	Lanthanum			
42899477	Lapsana communis flowering top extract			
42899478	Juglans cinerea branch bark-root bark extract			
42899479	Juglans nigra bark extract			
42899480	Juglans regia flowering top extract			
42899482	Juniperus communis fruit extract			
42899483	JUNIPERUS SABINA LEAF			
42899484	Juniperus sabina leafy twig extract			
42899485	Justicia adhatoda leaf extract			
42899486	Justicia gendarussa leaf extract			
42899487	Laricifomes officinalis fruiting body extract			
42899488	Larix decidua flowering top extract			
42899489	Larix decidua resin extract			
42899490	Larrea divaricata leaf extract			
42904212	calcium aluminum borosilicate			
42904213	Galanthus nivalis seed extract			
42904214	levulinate			
42904215	Gentiana urnula flower extract			
42904216	Polytetrafluoroethylene			
42904217	2-pyrrolidone			
42904218	Berberis vulgaris whole extract			
42904219	Ceanothus americanus whole extract			
42904220	Cherry plum extract			
42904221	Cistus incanus whole extract			
42899024	EMPETRUM NIGRUM FRUIT JUICE			
42899025	EMU OIL			
42899026	enzacamene			
42899027	EUCALYPTUS POLYBRACTEA LEAF OIL			
42899028	EUROPEAN HAZELNUT OIL			
42899029	East Indian Lemongrass Oil			
42899030	Ecballium elaterium fruit extract			
42899031	Echinacea angustifolia leaf extract			
42899032	Equisetum arvense branch extract			
42899033	Equisetum arvense top extract			
42899035	Erbium			
42899036	Dioscorea collettii var. hypoglauca root extract			
42899984	Tsuga canadensis bark extract			
42899985	Tsuga canadensis flower bud extract			
42899986	Turnera diffusa leafy twig extract			
42899987	Veratrum album root extract			
42899988	Veratrum viride root extract			
42899989	Verbascum densiflorum leaf extract			
42899990	Verbascum phlomoides flower extract			
42899992	Verbena officinalis flowering top extract			
42899993	Veronica officinalis flowering top extract			
42899996	Vetiveria zizanioides root extract			
42899998	Withania somnifera flower extract			
42899999	Withania somnifera leaf extract			
42899038	Dioscorea villosa tuber extract			
42899039	Diospyros kaki leaf extract			
42899040	Echinacea purpurea flowering top extract			
42899041	Eclipta prostrata leaf extract			
42899042	Eriobotrya japonica leaf extract			
42899044	Eleutherococcus nodiflorus root bark extract			
42899045	Elymus repens root extract			
42899050	Entada phaseoloides leaf extract			
42899052	Eosine Yellowish	Other antiseptics and disinfectants	ANTISEPTICS AND DISINFECTANTS	DERMATOLOGICALS
42899053	Ephedra distachya flowering twig extract			
43526081	Trimethylbenzenepropanol			
43526082	Thymus vulgaris whole extract			
43526095	apocarotenal			
43526097	arsenate			
43526106	Dendrobium nobile stem extract			
43525842	Gelidiella acerosa extract			
43525843	GERANIUM EXTRACT			
43525844	Coconut extract			
43525845	Cluster fig extract			
43525846	Achillea millefolium extract			
43525847	Greater galangal extract			
43525849	Melilotus extract			
43525850	Goldenseal extract			
43525851	Spearmint extract			
19080514	diperodon			
19004049	nicofuranose	Nicotinic acid and derivatives	LIPID MODIFYING AGENTS	CARDIOVASCULAR SYSTEM
704053	Methamphetamine	Centrally acting sympathomimetics	PSYCHOANALEPTICS	NERVOUS SYSTEM
19095546	etofamide	Dichloroacetamide derivatives	ANTIPROTOZOALS	ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS
19095561	etofenamate	Antiinflammatory preparations, non-steroids for topical use	TOPICAL PRODUCTS FOR JOINT AND MUSCULAR PAIN	MUSCULO-SKELETAL SYSTEM
19056645	droxicam	Oxicams	ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS	MUSCULO-SKELETAL SYSTEM
715259	duloxetine	Other antidepressants	PSYCHOANALEPTICS	NERVOUS SYSTEM
19082886	cyclothiazide	Thiazides, plain	DIURETICS	CARDIOVASCULAR SYSTEM
19052031	cycrimine			
19052076	cyprodenate			
19002226	hydroiodic acid			
19069075	hydroquinidine	Quinine and derivatives	OTHER DRUGS FOR DISORDERS OF THE MUSCULO-SKELETAL SYSTEM	MUSCULO-SKELETAL SYSTEM
19060797	Petroleum distillate			
19092373	lypressin	Vasopressin and analogues	PITUITARY AND HYPOTHALAMIC HORMONES AND ANALOGUES	SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS
19041222	Phloroglucinol	Other drugs for functional gastrointestinal disorders	DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS	ALIMENTARY TRACT AND METABOLISM
19027413	Pargyline	MAO inhibitors	ANTIHYPERTENSIVES	CARDIOVASCULAR SYSTEM
19055605	AMINO ACIDS 6.5%			
19055606	AMINO ACIDS 6.9%			
19055608	AMINO ACIDS 8%			
19013724	AMMONIUM SILICOFLUORIDE			
19080405	AMPHETAMINE/DEXTROAMPHETAMINE RESIN COMPLEX			
